ID,Name,Group ID,Created At
36,MyChannel_001,-1002347534842,2025-02-06 01:14:05
37,MyChannel_015,-1002449900722,2025-02-06 01:14:48
38,MyChannel_014,-1002356711086,2025-02-06 01:14:48
39,MyChannel_013,-1002401095545,2025-02-06 01:14:48
40,MyChannel_012,-1002252234296,2025-02-06 01:14:48
41,MyChannel_011,-1002365707949,2025-02-06 01:14:49
42,MyChannel_010,-1002229148245,2025-02-06 01:14:49
43,MyChannel_009,-1002308071236,2025-02-06 01:14:49
44,MyChannel_008,-1002292000203,2025-02-06 01:14:49
45,MyChannel_007,-1002238557005,2025-02-06 01:14:49
46,MyChannel_006,-1002359571009,2025-02-06 01:14:49
47,MyChannel_005,-1002345302605,2025-02-06 01:14:50
48,MyChannel_004,-1002255139589,2025-02-06 01:14:50
49,MyChannel_003,-1002199529726,2025-02-06 01:14:50
50,MyChannel_002,-1002437894720,2025-02-06 01:14:50
51,MyChannel_001,-1002413667201,2025-02-06 01:14:50
52,MyChannel_002,-1002303302629,2025-02-06 01:14:50
53,MyChannel_003,-1002385729355,2025-02-06 01:14:50
54,MyChannel_004,-1002323754365,2025-02-06 01:14:50
55,MyChannel_005,-1002487891397,2025-02-06 01:14:50
56,MyChannel_006,-1002448845769,2025-02-06 01:14:51
57,MyChannel_007,-1002441551984,2025-02-06 01:14:54
58,MyChannel_008,-1002401851102,2025-02-06 01:14:54
59,MyChannel_009,-1002361407938,2025-02-06 01:14:54
60,MyChannel_010,-1002294749859,2025-02-06 01:14:54
61,MyChannel_011,-1002362293631,2025-02-06 01:14:54
62,MyChannel_012,-1002344836739,2025-02-06 01:14:54
63,MyChannel_013,-1002379184909,2025-02-06 01:14:55
64,MyChannel_014,-1002454367986,2025-02-06 01:14:55
65,MyChannel_015,-1002460224359,2025-02-06 01:14:55
66,MyChannel_016,-1002473402448,2025-02-06 01:14:55
67,MyChannel_017,-1002284758523,2025-02-06 01:14:55
68,MyChannel_018,-1002466150264,2025-02-06 01:14:55
69,MyChannel_019,-1002466342897,2025-02-06 01:14:55
70,MyChannel_020,-1002450663641,2025-02-06 01:14:55
71,MyChannel_021,-1002271121932,2025-02-06 01:14:56
72,MyChannel_022,-1002269417254,2025-02-06 01:14:56
73,MyChannel_023,-1002364179408,2025-02-06 01:14:56
74,MyChannel_024,-1002286339213,2025-02-06 01:14:56
75,MyChannel_025,-1002351935556,2025-02-06 01:14:56
76,MyChannel_026,-1002474035164,2025-02-06 01:14:56
77,MyChannel_027,-1002265821560,2025-02-06 01:15:00
78,MyChannel_028,-1002258755819,2025-02-06 01:15:01
79,MyChannel_029,-1002369713572,2025-02-06 01:15:01
80,MyChannel_030,-1002334194450,2025-02-06 01:15:01
81,MyChannel_031,-1002377455985,2025-02-06 01:15:01
82,MyChannel_032,-1002385090022,2025-02-06 01:15:01
83,MyChannel_033,-1002314591794,2025-02-06 01:15:01
84,MyChannel_034,-1002340393341,2025-02-06 01:15:01
85,MyChannel_035,-1002493707784,2025-02-06 01:15:01
